scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,climb_attempt,ending,climb_time,driver,dead,card,,
ADK,52,B3,3373,,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,4,TRUE,D,TRUE,2,FALSE,No Card,Struggled against defense,
DK,52,R1,539,R2,FALSE,TRUE,1,0,0,0,FALSE,TRUE,0,0,2,4,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,"Robust intake, 8/10 reliable L1",
JY,52,R3,8592,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,2,0,0,0,1,3,FALSE,No,FALSE,5,FALSE,No Card,"had coral stuck but resolved, really good defense",
JY,53,R3,1086,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,3,3,0,FALSE,No,FALSE,4,FALSE,No Card,"fast, L1 inconsistent",
ADK,53,B3,617,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,TRUE,No Card,,
FL,53,B1,9709,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,1,0,FALSE,P,FALSE,3,FALSE,No Card,Intake fell apart. Pushed dead partner into park,
DK,53,R1,2106,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,1,1,1,3,4,TRUE,P,FALSE,4,FALSE,No Card,Missed all auto coral; aggressive towards defense,
TA,53,B2,4286,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,Can퍁 move/ very bad fordefense.Got pushed to Park,
AW,53,R2,346,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,1,0,0,FALSE,P,FALSE,2,FALSE,No Card,Defense: 3 wasn퍁 original plan,
SZ,54,B2,5804,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,1,2,1,FALSE,P,FALSE,5,FALSE,No Card,,
FL,54,B1,10370,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,6,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,Didn퍁 play d,
Frank,54,R1,1522,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,2,0,4,0,FALSE,No,FALSE,3,FALSE,No Card,I thought they could do l4 extremely slow l3 :(,
ADK,54,B3,10257,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,2,FALSE,No Card,"Descored all algae, but took the whole match",
JY,54,R3,4472,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,1,0,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,decent defense,
AW,54,R2,4505,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,2,FALSE,P,FALSE,3,FALSE,No Card,Moved the wrong way in auto,
AW,55,R2,6802,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,TRUE,P,FALSE,3,FALSE,No Card,,
SZ,55,B2,1599,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,1,2,0,0,TRUE,D,FALSE,5,FALSE,No Card,,
Frank,55,R1,449,R1,FALSE,TRUE,0,0,0,2,FALSE,FALSE,0,0,0,0,3,2,5,FALSE,P,FALSE,4,FALSE,No Card,,
FL,55,B1,2988,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,TRUE,No Card,,
JY,55,R3,1262,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,2,4,0,FALSE,P,FALSE,4,FALSE,No Card,,
ADK,55,B3,1731,R2,FALSE,TRUE,0,0,0,3,FALSE,FALSE,0,0,0,0,0,0,7,TRUE,P,FALSE,3,FALSE,No Card,,
FL,56,B1,3361,R2,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,2/5 defense,
AW,56,R2,339,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,2,0,FALSE,No,FALSE,4,FALSE,No Card,Na,
ADK,56,B3,540,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,6,5,0,FALSE,No,FALSE,3,FALSE,No Card,,
Frank,56,R1,2998,R2,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,7,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,L1 main. Kinda basic af.,
JY,56,R3,5724,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,2,0,1,0,0,FALSE,P,FALSE,3,FALSE,No Card,"flimsy arm, unreliable transfer, handles algae",
JJ,56,B2,9214,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,3,2,0,FALSE,No,FALSE,2,FALSE,No Card,Auto ran into the barge support ,
KO,57,R3,10257,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,4,FALSE,No Card,Decent defense on far side,
AY,57,B1,10224,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,1,0,5,0,FALSE,P,FALSE,3,FALSE,No Card,Bad L4,
AW,57,R2,404,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,7,0,0,0,0,FALSE,No,FALSE,5,FALSE,No Card,Na,
ADK,57,B3,9003,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,5,TRUE,P,FALSE,2,FALSE,No Card,Slow scorer,
AZ,57,B2,614,R2,FALSE,TRUE,1,0,0,0,TRUE,TRUE,2,0,0,5,0,0,0,FALSE,P,FALSE,4,FALSE,No Card,No elevator; sticked to floor,
DK,57,R1,1895,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,5,FALSE,P,FALSE,2,FALSE,No Card,Hella slow; mid but L4 main; wobbly manip; ,
AY,58,B1,6802,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,1,3,FALSE,D,TRUE,3,FALSE,No Card,"Good deep climb, bad cycle",
SZ,58,B2,10370,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,2,0,0,0,FALSE,P,FALSE,4,FALSE,No Card,"Played defense second half, not that great at it",
KO,58,R3,2988,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,2,TRUE,No Card,"Bad D, died 75s into teleop ",
AW,58,R2,8592,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,4,2,FALSE,P,FALSE,4,FALSE,No Card,Aligning wasn퍁 working well,
ADK,58,B3,2106,R2,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,0,2,8,FALSE,P,FALSE,4,FALSE,No Card,Choose not to go for climb,
DK,58,R1,1262,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,1,0,FALSE,P,FALSE,1,FALSE,No Card,Inefficient coral intake; main L1-3,
DK,59,R1,6326,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,4,FALSE,No Card,Mid Defense,
AW,59,R2,5724,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,1,1,0,FALSE,P,FALSE,2,FALSE,No Card,Na,
AY,59,B1,9709,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,1,0,FALSE,P,FALSE,2,FALSE,No Card,Played defense in middle,
KO,59,R3,1522,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,1,0,5,0,FALSE,P,FALSE,3,FALSE,No Card,Slow elevator,
ES,59,B3,0,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,4,6,0,FALSE,No,FALSE,3,FALSE,No Card,Good at l3&2 very consistent all other aspects mid,
SZ,59,B2,2998,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,6,0,0,0,FALSE,No,FALSE,4,FALSE,No Card,Robot couldn퍁 move well sometimes,
KO,60,R3,346,R1,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,2,FALSE,P,FALSE,4,FALSE,No Card,Intake broke,
SZ,60,B2,3361,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,4,FALSE,No Card,"Got pushed in auto, not great defense",
ES,60,B3,614,,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,3,2,0,0,TRUE,P,FALSE,3,FALSE,No Card,Missed l1  ground coral intake,
JY,60,R1,3258,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,3,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,"kitbot w swerve, L1 only but decent cycling",
AY,60,B1,614,R2,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,0,0,4,2,0,0,FALSE,No,FALSE,3,FALSE,No Card,N/a,
GL,60,R2,539,R3,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,8,0,0,0,FALSE,P,FALSE,4,FALSE,No Card,,
AY,61,B1,1086,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,1,5,1,FALSE,No,FALSE,4,FALSE,No Card,,
KO,61,R3,4286,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,Parked 30s into teleop,
GL,61,R2,4505,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,TRUE,No Card,"Far side, in between 2 bots. ",
RL,61,B3,1731,R3,FALSE,TRUE,0,0,0,3,TRUE,FALSE,0,0,0,0,4,1,4,TRUE,D,FALSE,4,FALSE,No Card,"So smooth, so fresta",
AZ,61,B2,1086,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,3,3,1,FALSE,P,FALSE,5,FALSE,No Card,Bad intake but good driver ,
JY,61,R1,9214,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,3,0,FALSE,No,FALSE,2,FALSE,No Card,"slow cycling, VERY NOT TOUCHITOWNIT INTAKE",
KO,62,R3,617,,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,,
GL,62,R2,3373,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,2,TRUE,P,FALSE,3,FALSE,No Card,Had alignment issue from chute to manip,
RL,62,B3,5804,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,3,0,5,FALSE,P,FALSE,4,FALSE,No Card,"Minor l4 trouble, good overall",
SZ,62,B2,10224,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,2,0,0,2,0,FALSE,No,FALSE,5,FALSE,No Card, ,
AY,62,B1,449,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,1,4,8,FALSE,P,FALSE,5,FALSE,No Card,Fast cycles,
JY,62,R1,339,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,5,0,0,FALSE,P,FALSE,3,FALSE,No Card,unreliable intaking /alignment,
GL,63,R2,346,R1,FALSE,TRUE,2,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,"Got algae stuck, played decent defense ",
KO,63,R3,3361,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,1 miss; coral stuck 30s into teleop,
AY,63,B1,1599,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,1,0,TRUE,D,TRUE,2,FALSE,No Card,,
SZ,63,B2,2106,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,1,0,1,0,0,1,6,FALSE,P,FALSE,5,FALSE,No Card, ,
JY,63,R1,4472,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,0,0,1,0,FALSE,P,FALSE,3,FALSE,No Card,slow intake,
AZ,63,B3,9709,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,2,0,FALSE,No,FALSE,3,FALSE,No Card,,
AY,64,B1,3258,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,4,FALSE,No Card,Played d,
SZ,64,B2,540,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,5,6,0,FALSE,No,FALSE,5,FALSE,No Card, ,
GL,64,R2,1262,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,2,2,0,FALSE,No,FALSE,3,FALSE,No Card,,
KO,64,R3,10370,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,6,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,Decent cycle speed ,
JY,64,R1,4505,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,1,FALSE,No,FALSE,2,FALSE,No Card,unreliable elevator and intake,
AZ,64,B3,614,R2,FALSE,TRUE,1,0,0,0,TRUE,TRUE,0,0,3,3,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,Good with algae and l1 coral,
KO,65,R3,9214,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,FALSE,P,FALSE,4,FALSE,No Card,Unsure about L2,
JY,65,R1,3373,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,4,TRUE,D,FALSE,3,FALSE,No Card,intake and deposit unreliable,
AY,65,B1,6802,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,3,TRUE,D,TRUE,4,FALSE,No Card,,
AW,65,B3,404,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,10,0,0,0,0,FALSE,No,FALSE,5,FALSE,No Card,Na,
GL,65,R2,5804,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,3,2,0,FALSE,No,FALSE,3,FALSE,No Card,None,
SZ,65,B2,9003,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,3,4,0,FALSE,P,FALSE,5,FALSE,No Card,Kind of slow,
"KO, RX",66,R3,1731,R1,FALSE,TRUE,0,0,0,2,TRUE,FALSE,0,0,0,0,0,0,8,TRUE,D,TRUE,5,FALSE,No Card,Intake broken yet good performance,
SZ,66,B2,1895,R2,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,0,0,0,1,FALSE,No,FALSE,4,FALSE,No Card,Kind of wobbly,
AW,66,B3,2988,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,Defense:2 kept fouling,
GL,66,R2,6326,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,4,FALSE,No Card,Defense GOAT,
AZ,66,B1,10224,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,4,2,FALSE,P,FALSE,4,FALSE,No Card,,
SBS,66,R1,2998,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,8,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,One of the L1s may have fallen out,
SZ,67,B2,539,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,,
AW,67,B3,617,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,1,FALSE,No Card,Didn퍁 have anything,
RX,67,B1,5724,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,0,1,1,0,FALSE,P,FALSE,3,FALSE,No Card,Decent driver but crashed robot,
KO,67,R3,10257,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,Couple misses; slow elevator,
GL,67,R2,4286,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,Mid Defense,
SBS,67,R1,1599,R3,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,0,0,1,0,3,0,TRUE,D,FALSE,3,FALSE,No Card,Intake was iffy,
