scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,climb_attempt,ending,climb_time,driver,dead,card
sophia,12,B1,457,Middle,FALSE,TRUE,2,1,2,2,FALSE,FALSE,2,0,3,24,11,3,8,TRUE,P,FALSE,3,TRUE,No Card
gabriel,15,R3,493,Far,FALSE,TRUE,0,1,2,2,TRUE,TRUE,9,1,1,4,12,2,0,TRUE,D,FALSE,4,TRUE,No Card
gabriel,5,R3,477,Far,FALSE,TRUE,2,1,1,2,TRUE,FALSE,5,2,8,6,3,9,2,TRUE,No,TRUE,2,TRUE,No Card
gabriel,5,R2,494,Middle,FALSE,TRUE,2,0,1,1,FALSE,TRUE,0,1,8,3,4,7,3,TRUE,S,FALSE,1,TRUE,No Card
mitchell,20,R2,464,Middle,FALSE,TRUE,1,1,2,2,FALSE,TRUE,3,1,1,5,10,0,5,TRUE,No,FALSE,5,TRUE,No Card
mitchell,7,B2,469,Far,FALSE,FALSE,1,2,0,0,TRUE,TRUE,0,1,8,20,2,3,7,TRUE,S,TRUE,4,TRUE,No Card
gabriel,15,B3,488,Middle,FALSE,TRUE,2,2,2,2,TRUE,TRUE,8,2,5,16,2,12,5,TRUE,P,TRUE,5,TRUE,No Card
mitchell,4,R2,477,Close,FALSE,FALSE,1,1,0,0,TRUE,TRUE,1,3,3,15,3,11,1,TRUE,D,TRUE,1,TRUE,No Card
mitchell,4,B3,470,Middle,FALSE,FALSE,1,0,0,0,FALSE,TRUE,7,2,1,17,11,4,7,TRUE,S,TRUE,1,TRUE,No Card
gabriel,5,R2,466,Close,FALSE,TRUE,0,0,2,2,TRUE,FALSE,5,2,7,19,7,5,1,TRUE,No,TRUE,4,TRUE,No Card
mitchell,14,R2,474,Far,FALSE,TRUE,0,1,2,2,FALSE,FALSE,8,2,4,5,9,0,10,TRUE,P,TRUE,2,TRUE,No Card
gabriel,17,R3,496,Far,FALSE,TRUE,2,0,1,1,TRUE,FALSE,9,2,1,17,9,0,2,TRUE,P,FALSE,3,TRUE,No Card
sophia,5,B2,451,Middle,FALSE,TRUE,2,1,0,2,FALSE,TRUE,4,2,1,8,1,0,11,TRUE,No,FALSE,4,TRUE,No Card
gabriel,20,B1,454,Far,FALSE,TRUE,1,0,2,1,TRUE,TRUE,2,1,7,23,1,4,10,TRUE,D,FALSE,2,TRUE,No Card
sophia,10,B3,490,Far,FALSE,TRUE,2,1,0,1,TRUE,FALSE,0,1,2,16,3,0,9,TRUE,P,FALSE,3,TRUE,No Card
sophia,8,R2,461,Far,FALSE,TRUE,1,1,2,0,FALSE,FALSE,8,0,5,24,8,10,4,TRUE,D,FALSE,3,FALSE,No Card
gabriel,16,B3,481,Middle,FALSE,TRUE,1,0,1,0,TRUE,TRUE,9,1,9,20,10,8,9,TRUE,No,TRUE,4,TRUE,No Card
gabriel,16,B2,455,Close,FALSE,TRUE,0,2,0,2,FALSE,TRUE,8,0,8,3,8,0,9,TRUE,S,FALSE,5,TRUE,No Card
mitchell,18,B2,470,Far,FALSE,TRUE,1,1,2,2,TRUE,FALSE,8,3,3,10,6,5,10,TRUE,D,FALSE,1,TRUE,No Card
gabriel,1,R1,453,Close,TRUE,TRUE,0,0,1,0,TRUE,FALSE,5,3,1,12,4,9,7,TRUE,P,FALSE,3,FALSE,No Card
gabriel,15,B2,474,Close,FALSE,TRUE,2,2,2,2,FALSE,FALSE,6,2,9,15,4,10,7,FALSE,No,FALSE,5,FALSE,No Card
mitchell,14,B2,459,Far,FALSE,TRUE,1,1,1,2,FALSE,FALSE,2,0,1,15,10,8,11,TRUE,S,FALSE,4,TRUE,No Card
tinbite,10,R3,460,Close,FALSE,TRUE,0,1,1,1,TRUE,TRUE,8,0,5,24,1,9,3,TRUE,S,FALSE,4,TRUE,No Card
tinbite,7,R3,452,Close,FALSE,TRUE,0,0,1,1,TRUE,FALSE,2,2,5,1,12,3,1,TRUE,S,FALSE,1,TRUE,No Card
